payment_id,PARTN,AVKON,SGTXT,KWBTR,KWAER,BVDAT
[16],Oliveira & Filhos Comércio,ZW61NWKH00776954994515,receipt number 6602151877  REF a5d,9252.17,USD,20241002
[17],Oliveira & Filhos Comércio,ZW61NWKH00776954994515,receipt number 6602151877  REF 3inec5nv3ssiiv2,35389.950000000004,USD,20241006
[18],Oliveira & Filhos Comércio,ZW61NWKH00776954994515,receipt number  INV100000000010648 REF zn2zx5ig,66492.86999999998,USD,20240928
[19],Ivanov & Sons Engineering,EC90BMJQ22184557145398,PAY  313029 4325 snsjkwbyis0ogbz,32316.36,USD,20091019
[20],Global Solutions Ltd,NZ26WIML96997855416658,RECEIPT  REF 0: 0464920642 & REF 1: 4535529377 & REF 2: 1376064833 & REF 3: 0661765806 & REF 4: 9133787568,1250294.32,NZD,20081001
[21],Galaxy IT Services,JP55URXX19922438559959,payment  2825957687 6446v4d6t36,17986693.61,JPY,20171009
[22],Rossi & Figli S.p.A.,CH60WYQF12137990692904,+ 9407370457 + 5354546386 + 0102140747 ,294689.24,CHF,20211016
[23],Apollo Catering Services,EC06KESO06541453065039,RECEIPT  2984795489 | 0316298729 | 2635743824,446606.76,USD,20231002
[24],Kim & Choi Electronics,FR90VMJD61142441117749,ORDER OF 9078589570 INV1000000000014631 6idt7f,257230.37,EUR,20100926
[25],Zhang & Co. Limited,US15SVBG74166913229289,receipt number INV100000000004350 ,48684.37,USD,20030929
[26],Kim & Lee Technologies,US78QMZQ98005519667632, 1000000018569 1680208876,32410.41,USD,20161016
[27],Kim & Lee Technologies,US78QMZQ98005519667632,INV100000000003482 16973 ,58108.22,USD,20161010
[28],Ivanov & Partners Ltd.,SV19KKUN36138602803468,ORDER OF  INV10000000 0007724,271575.54,USD,20030922
[29],BHT TOURS,JP74DNBM06807398614973,INV100000000002916 ,6070241.41,JPY,20221012
[30],Lumen Power Technologies,IE81NFGS32338919992498, I NV100000000007332,126908.32,EUR,20200924
[31],Lumen Power Technologies,IE81NFGS32338919992498, INV00000000007332,73666.41999999998,EUR,20201006
[32],Apollo Catering Services,EC65DGAR74950078797614,RECEIPT  900732 6621,155924.69,USD,20131011
[33],Schmidt & Partners AG,KR19XONN22004093612755,receipt number INV1070000000038044 ,151580543.33,KRW,20211003
[34],Nakamura & Co. 株式会社,IE80QKMH17158377169473,+ 4674296096+ 7038229937+ 5535403769+ 2338663737+ 6026383405+ 6898556161 ,1668349.38,EUR,20141009
[35],Rossi & Figli Costruzioni,SV38XHWS88142304184916,"ORDER OF + 8766659378, + 4008803775, + 3648511038 ",536586.15,USD,20091103
[36],Lumen Power Technologies,IE81NFGS32338919992498, INV1000000000412700,74089.56,EUR,20051002
[37],Eagle Financial Group,US55FZFE21568608001876, INV100000000012113,70729.85,USD,20241011
[38],Shoreline Property Group,PA04ULMP25623811229020,60253595243  REFERENCE zlbe7w43w,147934.81,USD,20041006
[39],Patel & Sons Pvt. Ltd.,SV22EZNA58441680215504,RECEIPT  3000003193,177988.25,USD,20011008
[40],Ivanov & Sons Engineering,EC07QGSB23709829413003,PAY INV1000000000000817  hvl4,104360.66,USD,20071010
[41],Park & Lee Solutions,IT69XBSD04498910535216,ORDER OF  INV100000000031279,57967.96,EUR,20011002
[42],Park & Lee Solutions,IT69XBSD04498910535216,ORDER OF 4556026118 ,65959.86000000002,EUR,20010929
[43],Tanaka & Co. 株式会社,ZW70BCJL16136698104880,#RECEIPT: 9075306495 ,28181.829999999998,USD,20071002
[44],Tanaka & Co. 株式会社,ZW70BCJL16136698104880,#RECEIPT: 9075306495 ,11015.83,USD,20071012
[45],Patel & Co. Pvt. Ltd.,ZW78NGDB70738187471395,RECEIPT 9782863123 199  NUM 8s5hnuus69fpkv,80047.31,USD,20020923
[46],Santos & Filhos Comércio,DE13PBFW62516574641980,RECEIPT  4345453746,190594.63,EUR,20050925
[47],Red Maple Ventures,US49XYJM88732373778550,"payment ref 0: 1156125295, ref 1: 6502487247, ref 2: 3639383987, ref 3: 2729908711, ref 4: 1496570507, ref 5: 2782952564 ",797116.1099999999,USD,20181016
[48],Hassan & Sons Pvt. Ltd.,ES92SDAP43749596766651, 100000000000969 INV100000000030740,152535.33,EUR,20180925
[49],Hassan & Sons Pvt. Ltd.,ES92SDAP43749596766651, 110061 INV100000000030740,132073.22,EUR,20180927
[50],Vista Health Care Services,SV32NJKO48334737694695,payment INV10000000000771 8 ,53146.9,USD,20191027
[51],Galaxy IT Services,JP50GUYI77851264062222,payment INV100000000002442  ttkf,26740514.130000003,JPY,20131003
[52],TerraNova Energy Co.,KR69MWND72849777139761,PAY INV100000000003767 ,122125947.01,KRW,20200924
[53],Bertolini & Figli S.p.A.,JP04BQPW06234142267270,RECEIPT  INV100000000004478,36542234.63,JPY,20070925
[54],Hassan & Co. Ltd.,ES95HFKV50917403914231,ORDER OF  50480758517,107403.25,EUR,20071002
[55],Hassan & Co. Ltd.,ES95HFKV50917403914231,ORDER OF  50407585137,8957.149999999994,EUR,20071003
[56],Apollo Catering Services,EC06KESO06541453065039,RECEIPT  9963335580,219211.97,USD,20211029
[57],Blue Horizon Travel Ltd,JP27WHPP05098560888734,INV10000000005575 ,32278734.41,JPY,20001003
[58],Zhao & Sons Ltd.,EU47ONKW62928204879903,payment  INV100000000006945 REFERENCE j8ii4aj2i87,171746.94,EUR,20120925
[59],Vulcan Heavy Industries,EC10DCQZ15864277097996,+ 6284878521+ 3861539218+ 5311339607 100000003766 ,695723.3,USD,20181010
[60],Santos & Filho Lda.,AU14FSGP75413836101729,PAY  8927284764,23588.39,AUD,20101018
[61],Santos & Filho Lda.,AU14FSGP75413836101729,PAY  972284764,342642.43,AUD,20100924
[62],Oliveira & Filhos Comércio,ZW97JTDO82348480752347,receipt number  INV100000000002917 REF d3vvlw,102835.31,USD,20111002
[63],Oliveira & Filhos Comércio,ZW95DMTM45636270440856,receipt number  INV100000000007648 REF t324n6x,411386.95,USD,20141001
[64],CEM PLANNERS,SV20BJHO20887918360762,receipt number  + 0383937766 & + 8451496729 & + 0140510193 REF 9jnwsi8,481816.44,USD,20051007
[65],Liu & Chao Engineering,NO83KQHA30401614802459,RECEIPT  INV1000000000010421,2393095.62,NOK,20151003
[66],Dupont & Frères SARL,IE84PFGD56213172748980,ORDER OF  100000018747 557134481,148200.65,EUR,20111006
[67],TerraNova Energy Co.,KR69MWND72849777139761,PAY  04301441740,236673399.67,KRW,20221031
[68],Global Solutions Ltd,NZ26WIML96997855416658,RECEIPT INV100000000007683 ,221453.72,NZD,20191020
[69],Global Solutions Ltd,NZ26WIML96997855416658,RECEIPT INV100000000007683 ,101559.75999999998,NZD,20191007
[70],Hassan & Co. Ltd.,ES21DMQH18438233280127,ORDER OF  45061261192,81643.28,EUR,20211017
[71],Hassan & Co. Ltd.,ES21DMQH18438233280127,ORDER OF  45061268119,55325.44,EUR,20211007
[72],Nexus Financial Services,PA09PJVM46986363192179,receipt number  INV100000000038647 REFERENCE lwme2dnty6y,82588.76,USD,20200924
[73],Pacific Ocean Fisheries,PA47WMHH62842661445532,"#RECEIPT:  100000002374 + 1810287659, + 2208468104",279740.58,USD,20021002
[74],Nakamura & Co. 株式会社,IE96HMFG05609084516214, INV1000000000097136,85602.25,EUR,20000928
[75],Rossi & Figli S.p.A.,CH63NCZR79469934122522,014480809 ,186613.51,CHF,20181024
[76],TerraNova Energy Co.,KR69MWND72849777139761,PAY  5997997621,399794233.1,KRW,20181010
[77],Oliveira & Filhos Comércio,ZW97JTDO82348480752347,receipt number REF 0: 04459670REF 1: 310663388REF 2: 696946539  REF 5p410ipl,560916.61,USD,20180924
[78],Ramirez & Hijos Consultoría,EC36JHZD22895566926999,receipt number  725448992,137604.98,USD,20031018
[79],Patel & Sons Pvt. Ltd.,SV54HXEA79381774413232,RECEIPT INV100000000 010362 ,83117.87,USD,20200929
[80],Patel & Sons Pvt. Ltd.,SV54HXEA79381774413232,RECEIPT INV1400000000010362 ,63157.390000000014,USD,20201007
[81],CEM PLANNERS,SV84DXDX31456639442288,receipt number  + 4299863382 & + 7118472591 & + 2319465974 & + 6743501082 REF x9cx8r5y2j2z0,421848.23,USD,20201001
[82],Bertolini & Figli S.p.A.,JP52NVBD41881113710759,RECEIPT  INV100000000005805,39316814.74,JPY,20230925
[83],Crimson Event Management,SV13RFGV72362679181165,receipt number  4205397525 REF zeizwc,25950.1,USD,20161013
[84],Crimson Event Management,SV13RFGV72362679181165,receipt number  4205397525 REF m5mihxwfy,38511.58,USD,20160923
[85],Oliveira & Filhos Comércio,ZW82TTLX51391866569957,receipt number 3432263495  REF eo4cu1,108482.16,USD,20151010
[86],Infinity Edge Technologies,ES95PTGM10367377111871,PAY  8316395760,99709.03,EUR,20170923
[87],Aurora Digital Labs,US30QLXI48317160457318,5633328135 IN100000000021877,91744.98,USD,20061010
[88],Ramirez & Hijos Servicios,EC71POCP43339649040193,receipt number  INV100000000005795 f0ev,86317.42,USD,20191002
[89],GXS TECH,JP55URXX19922438559959,payment  2241192973 s3l,13906602.84,JPY,20000930
[90],GXS TECH,JP55URXX19922438559959,payment  2241192973 5knbo0y,14385992.0,JPY,20001017
[91],Tanaka & Co. 株式会社,ZW92VHPS86324166930032,#RECEIPT: 8 592146091 ,251711.32,USD,20090927
[92],Tanaka & Co. 株式会社,ZW92VHPS86324166930032,#RECEIPT: 8 592146091 INV100000000011355,5618.720000000001,USD,20091006
[93],Lumen Power Technologies,IE16XJVZ01668558714423,ref 0: 6753345840 | ref 1: 9485277819 | ref 2: 4999224816 | ref 3: 1263965380 | ref 4: 5294379637 ,514689.24,EUR,20220928
[94],Pacific Ocean Fisheries,PA07YBHQ30636811836252,"#RECEIPT:  1000000012214 + 6642182061, + 5529975393, + 3349271044",555770.45,USD,20200927
[95],Dubois & Co. S.A.R.L.,ZW36YWNE17469290674294, 1000038600 INV100000000010704 NUM gopx0px5tfoy7b,14226.38,USD,20070929
[96],Dubois & Co. S.A.R.L.,ZW36YWNE17469290674294, 100000002568 INV100000000010704 NUM ncgpey4tiq3kyt,14354.69,USD,20071001
[97],Global Solutions Ltd,NZ81PSLN50784663347230,RECEIPT  741239461,305481.24,NZD,20031012
[98],Schmidt & Partners AG,KR28BVOX73302140824849,receipt number  7209334746,254188200.09,KRW,20030921
[99],Schmidt & Partners AG,KR28BVOX73302140824849,receipt number  7209334746,7049712.159999996,KRW,20031023
[100],Vulcan Heavy Industries,EC96HOBH95227782115933, 1006112 INV10000000000962,219853.13,USD,20170925
[101],Vulcan Heavy Industries,EC96HOBH95227782115933, 199 V100000000009622,47571.26000000001,USD,20171001
[102],Hassan & Sons Pvt. Ltd.,ES92SDAP43749596766651, 100000000005351 INV100000000002162,193805.88,EUR,20121006
[103],Aurora Digital Labs,US30QLXI48317160457318,no 0: 6922291974 | no 1: 6096073599 | no 2: 8041915433 | no 3: 2428207448 | no 4: 4358503648 | no 5: 3902579925 ,1041752.04,USD,20081005
[104],Oliveira & Filhos Comércio,ZW97JTDO82348480752347,receipt number REF 0: 457802549REF 1: 97918149189REF 2: 34755413810  REF 8pyofco20by6l6c,430376.67,USD,20101011
[105],Red Maple Ventures,US77ISES92996107819674,"payment ref 0: 7996978175, ref 1: 0762369809, ref 2: 7241536219, ref 3: 5264091710, ref 4: 3000195009, ref 5: 9777284850 ",904767.76,USD,20050927
[106],NFS ADVISORS,PA62DRIL34514339426048,receipt number 9845201625  REFERENCE xi6pvgowsl0su,63357.2,USD,20181006
[107],Schmidt & Partners AG,KR19XONN22004093612755,receipt number INV1000000700006338 ,56052428.19,KRW,20040926
[108],Schmidt & Partners AG,KR19XONN22004093612755,receipt number I9NV100000000006338 0737579604,127601062.49,KRW,20041010
[109],Schmidt & Partners AG,KR19XONN22004093612755,receipt number INV10000000006338 ,75615413.91,KRW,20041010
[110],Zhang & Co. Limited,US15SVBG74166913229289,receipt number  no 0: 9945321479 & no 1: 6517384398 & no 2: 4327994318 & no 3: 8583107683,688508.49,USD,20161019
[111],Vulcan Heavy Industries,EC10DCQZ15864277097996,721800170 100000002619 ,196346.78,USD,20061009
[112],Vulcan Heavy Industries,EC10DCQZ15864277097996,2718001070 1011993 ,41491.09,USD,20061006
[113],Dupont & Frères SARL,IE69OHOG46653629276946,ORDER OF  1000000023036 8804668776,225819.14,EUR,20201022
[114],Smith & Co. Consulting,US68TYWD93527713228340,RECEIPT  REF 0: 4397082772 REF 1: 7602447289 REF 2: 6551999747 REF 3: 6211784630 REF 4: 9334642125 REF 5: 6177772783,997401.4400000001,USD,20191012
[115],Dubois & Co. S.A.R.L.,ZW27HQBA00980290656589,65484664589894148158 1998  NUM 7v4s7k4jkgl74p,249275.09,USD,20011013
[116],Z&S Enterprises,EU21QINT89660374269417,payment  INV100000000021812 REFERENCE 23wv0v,164941.06,EUR,20171009
[117],Z&S Enterprises,EU21QINT89660374269417,payment  INV100000000021812 REFERENCE q2g40w,113641.10000000003,EUR,20171106
[118],Red Maple Ventures,US77ISES92996107819674,payment  INV100000000001217,15587.449999999999,USD,20031010
[119],Zhang & Co. Limited,US80YMLZ45679853732694,receipt number  no 0: 7334090099 & no 1: 7751672107 & no 2: 9174187430,242458.82,USD,20221003
[120],Bianchi & Figli SRL,IE59MSHD42615312543793,RECEIPT - 3636357931- 4661978032- 5932006129- 7077051135 ,502562.19999999995,EUR,20051012
[121],EAGLE PAYMENTS,US55FZFE21568608001876,2394879946 ,91105.88,USD,20051009
[122],KC Tech Solutions,FR90VMJD61142441117749,ORDER OF  INV100000000036135 xm2k801tm5u0x56,57731.25,EUR,20161015
[123],KC Tech Solutions,FR90VMJD61142441117749,ORDER OF 4401594842  df01k3xg,38629.83,EUR,20161001
[124],Hassan & Sons Pvt. Ltd.,ES12GKZF14685184041382, 199 INV100000000000784,187078.0,EUR,20200930
[125],Park & Lee Solutions,IT69XBSD04498910535216,ORDER OF 6996959516 ,157619.98,EUR,20050928
[126],Blue Horizon Travel Ltd,JP11NJUW09521234007518, 9195942065,27864641.41,JPY,20021010
[127],Kim & Lee Technologies,US07VGMG69140207635056, 1000000000820 4992856448,137766.48,USD,20220926
[128],Kim & Lee Technologies,US07VGMG69140207635056,INV100000000007014 1985 ,35417.689999999995,USD,20220921
[129],ADL TECH,US30QLXI48317160457318,6490931964 ,119007.92,USD,20010923
[130],Renault & Fils SARL,EU39QKFV96686500836193,RECEIPT  INV100000000006263,246466.4,EUR,20231013
[131],OF Trading,ZW82TTLX51391866569957,receipt number REF 0: 0338137715REF 1: 5030161251REF 2: 5586117820REF 3: 3427429866  REF ac1ofoqee,407968.20999999996,USD,20150927
[132],Smith & Co. Consulting,US68TYWD93527713228340,RECEIPT  9705957964,80569.8,USD,20141028
[133],Smith & Co. Consulting,US68TYWD93527713228340,RECEIPT INV100000000002290 ,112019.52,USD,20140927
[134],Vulcan Heavy Industries,EC96HOBH95227782115933,325251128 100003577 ,108687.43,USD,20221010
[135],Renault & Fils SARL,EU39QKFV96686500836193,"RECEIPT REF 0: 2615545042, REF 1: 1102475969, REF 2: 0240579824, REF 3: 7701327393, REF 4: 6496407094 ",1167047.64,EUR,20171005
[136],Oliveira & Filhos Comércio,ZW97JTDO82348480752347,receipt number  INV100000000016080 REF qg04hn8,248024.38,USD,20141006
[137],Kim & Choi Electronics,FR90VMJD61142441117749,ORDER OF  INV100000000009396 gh1edefy,2092.05,EUR,20021003
[138],Kim & Choi Electronics,FR90VMJD61142441117749,ORDER OF 2491031093  d7n8jdrm,12242.81,EUR,20020924
[139],Kim & Choi Electronics,FR90VMJD61142441117749,ORDER OF 2491031093  fo9whjow,18230.68,EUR,20020925
[140],Schmidt & Co. Handels,ZW12LHLP01902321935235,receipt number  INV100000000012886,222666.31,USD,20131011
[141],Zhao & Sons Ltd.,EU22PQXY60907366812685,payment no 0: 1026072017no 1: 9434610282no 2: 3820242574  REFERENCE ncch0yxos5qftlz,433112.14,EUR,20040928
[142],Park & Lee Solutions,IT69XBSD04498910535216,ORDER OF  INV100000000005136,18367.260000000002,EUR,20110928
[143],Shoreline Property Group,PA04ULMP25623811229020,"- 2690114869, - 9193973505, - 3921843808  REFERENCE zcve30iq",722009.99,USD,20161007
[144],Rossi & Figli Costruzioni,SV90XIEB98407044017160,ORDER OF  INV100000000004713,121164.94,USD,20190930
[145],Rossi & Figli S.p.A.,CH63NCZR79469934122522, INV100000000012097,27469.55,CHF,20230930
[146],Rossi & Figli S.p.A.,CH63NCZR79469934122522, INV00000000012097,115761.87999999999,CHF,20231001
[147],Oliveira & Filhos Comércio,ZW97JTDO82348480752347,receipt number 676698632 9 INV100000000016959 REF 9xo6,68119.54,USD,20051002
[148],Blue Horizon Travel Ltd,JP74DNBM06807398614973, 7499017509,23073232.03,JPY,20190929
[149],Zhao & Sons Ltd.,EU73WLSA12736180675587,payment 0927553571 INV100000000006671 REFERENCE 3dz3x125mo6d,164882.88,EUR,20170930
[150],SPG REALTY,PA04ULMP25623811229020, INV100000000004866 REFERENCE 72bfzpvu9uqfb,133922.77,USD,20101001
[151],PL Innovations,IT69XBSD04498910535216,ORDER OF 8144558882 ,382557.48,EUR,20051009
[152],Schmidt & Co. Handels,ZW59RLKV09075233491043,receipt number 925196989 INV100000000017613,148144.23,USD,20051002
[153],Rossi & Figli Costruzioni,SV90XIEB98407044017160,"ORDER OF + 7259700264, + 5759099475, + 8497614758, + 5812002035 ",888600.74,USD,20200930
[154],Rossi Family Ventures,CH63NCZR79469934122522, INV100000000006115,45932.85,CHF,20050926
[155],Rossi Family Ventures,CH63NCZR79469934122522,4424685770 ,37026.04,CHF,20050929
[156],Kim & Lee Technologies,US11MXTO83752599536867,INV100000000001525 100018253 ,178759.34,USD,20040924
[157],Apollo Catering Services,EC32MCPV07870971817427,RECEIPT  1737655147,185568.23,USD,20150926
[158],Apollo Catering Services,EC32MCPV07870971817427,RECEIPT INV100000000001442 ,12717.350000000006,USD,20151008
[159],Bertolini & Figli S.p.A.,JP72YPCW98002965020416,RECEIPT 088224025 ,2165692.84,JPY,20240925
[160],Bertolini & Figli S.p.A.,JP72YPCW98002965020416,RECEIPT 20 88224025 ,5508907.77,JPY,20241002
[161],Oliveira & Filhos Comércio,ZW97JTDO82348480752347,receipt number 1231239981 INV 100000000014373 REF ii2j,99744.98,USD,20140927
[162],KC Tech Solutions,FR90VMJD61142441117749,ORDER OF  INV100000000000007 h8p5ig7938oudm,138525.0,EUR,20161010
[163],Shoreline Property Group,PA53NTKL71693721367740,"- 9537872515, - 7878574984  REFERENCE c2i",260926.76,USD,20190926
[164],Liu & Chao Engineering,NO67KUKR75990558614961,RECEIPT 0871756210 INV1000000000 05590,2238042.81,NOK,20021004
[165],Santos & Filho Lda.,AU14FSGP75413836101729,"PAY  4357157829, 7254757215, 8775929330, 3924187058",554191.1,AUD,20150926
[166],Infinity Edge Technologies,ES20WSWB76296960053374,PAY  1147717360,153847.66999999998,EUR,20231017
[167],SF Enterprises,AU59FGJS81471583634172,PAY  4400322334,55781.43,AUD,20201015
[168],Kim & Choi Electronics,FR90VMJD61142441117749,ORDER OF 7707310176  2t8hwpyq26,267396.68,EUR,20241006
[169],Patel & Sons Pvt. Ltd.,SV54HXEA79381774413232,RECEIPT INV100000000019654 ,287122.84,USD,20221003
[170],Shoreline Property Group,PA29YGYX91620708881306, INV100000000003465 REFERENCE q2wjgcpr,70058.57,USD,20031018
[171],Tanaka Corp.,ZW93RJDG67969379417643,#RECEIPT: 8120951323 ,57310.57,USD,20091010
[172],Santos & Filho Lda.,AU97ZBMB38756221380797,PAY INV10000000025115 ,93152.57,AUD,20071008
[173],Nexus Financial Services,PA09PJVM46986363192179,receipt number 138922342  REFERENCE zjsg,206292.44,USD,20051009
[174],Ferrari & Figli SRL,SV86RZEI75605993290228,ORDER OF 724142226 ,113429.01,USD,20210925
[175],Ferrari & Figli SRL,SV86RZEI75605993290228,ORDER OF 724142 7226 ,115855.65,USD,20211003
[176],Ferrari & Figli SRL,SV86RZEI75605993290228,ORDER OF 72414 27226 ,54881.669999999984,USD,20210927
[177],Tanaka & Co. 株式会社,ZW28TTSS20204212538805,#RECEIPT:  INV100000000007192,181440.75,USD,20171003
[178],VISTA CARE NETWORK,SV33LFZT25489849531543,payment  1770938442,302302.05,USD,20141006
[179],Santos & Filho Lda.,AU14FSGP75413836101729,PAY  81086641008,128730.74,AUD,20131023
[180],Santos & Filho Lda.,AU14FSGP75413836101729,PAY INV100000000003478 108664100,108793.09000000001,AUD,20131002
[181],TerraNova Energy Co.,KR69MWND72849777139761,PAY  - 7 431250062 - 446498752 - 2140285381,969430155.23,KRW,20071013
[182],Eagle Financial Group,US55CGKQ34343849487945,330772479 ,108219.24,USD,20061031
[183],Eagle Financial Group,US55CGKQ34343849487945,3307274797 ,50539.229999999996,USD,20061013
[184],TNE RESOURCES,KR69MWND72849777139761,PAY INV100000000001606 ,51968780.1,KRW,20011006
[185],TNE RESOURCES,KR69MWND72849777139761,PAY  1388950617,91163492.36000001,KRW,20011012
[186],Zhao & Sons Ltd.,EU73WLSA12736180675587,payment no 0: 9809847346no 1: 9381467511no 2: 9040497504no 3: 1217371092  REFERENCE dyv2n9rv,658337.0,EUR,20121009
[187],RF Solutions,EU18RYCW61299356573754,"RECEIPT REF 0: 0607257019, REF 1: 2423598249, REF 2: 2318610302, REF 3: 9911537582 ",577477.5900000001,EUR,20111019
[188],Blue Horizon Travel Ltd,JP26PWMP40022856455126,INV10 0000000051430 ,41114176.36,JPY,20161002
[189],Ivanov & Sons Engineering,EC07QGSB23709829413003,PAY  5343106035 f636471y,357776.52,USD,20081004
[190],VISTA CARE NETWORK,SV45AQUO19832173360815,payment  0305013759,147926.02,USD,20031029
[191],VISTA CARE NETWORK,SV45AQUO19832173360815,payment  0305013759,22607.389999999985,USD,20031027
[192],TerraNova Energy Co.,KR70KLGM22082716949087,PAY  58819436278,193507300.87,KRW,20011022
[193],Blue Horizon Travel Ltd,JP11NJUW09521234007518,NV100000000006613 4949683651,54333768.65,JPY,20011005
[194],SC Trading,ZW02GBNE44876723454203,receipt number 1656278966 0165249539 ,188191.52000000002,USD,20100930
[195],Nexus Financial Services,PA57EITK85774453544950,receipt number 0574156939  REFERENCE fdrhixdp514,397968.42,USD,20061008
[196],H&Co. Enterprises,ES07OXCB65709636961461,ORDER OF  2531203875,151698.11,EUR,20181025
[197],POF SEAFOOD,PA07YBHQ30636811836252,#RECEIPT:  100000018992 4307162005,221943.33,USD,20191005
[198],Pacific Ocean Fisheries,PA81NKDG94676776743427,"#RECEIPT:  1000000001544 + 8723018802, + 1802259414, + 0864303752, + 6369948667",712504.88,USD,20111002
[199],VHI MANUFACTURING,EC96HOBH95227782115933,+ 6724877893+ 9117165171+ 1150652184+ 0415200007 18293 ,712520.26,USD,20231017
[200],Schmidt & Partners AG,KR28BVOX73302140824849,receipt number  7761482673,254903576.98000002,KRW,20001005
[201],OpalStone Mining Inc.,ES81USND11774558785307,receipt number  100000001698 8803071403,29831.06,EUR,20081018
[202],OpalStone Mining Inc.,ES81USND11774558785307,receipt number INV100000000010787 100000011648 ,45002.31,EUR,20080923
[203],Hassan & Sons Pvt. Ltd.,ES12GKZF14685184041382,no 0: 1152219024no 1: 0941471739 100010851 ,224134.11,EUR,20230929
[204],Rossi & Figli Costruzioni,SV38XHWS88142304184916,ORDER OF  INV100000000013726,312758.8,USD,20200926
[205],Lumen Power Technologies,IE16XJVZ01668558714423, INV100000000001208,281090.09,EUR,20210925
[206],Liu & Chao Engineering,NO67KUKR75990558614961,RECEIPT  INV100000000000612,2913862.07,NOK,20041003
[207],IET SOLUTIONS,ES20WSWB76296960053374,PAY INV100000000010012 ,165703.96,EUR,20011022
[208],Shoreline Property Group,PA04ULMP25623811229020, INV100000000006881 REFERENCE n0w2sk,21967.32,USD,20231027
[209],Park & Lee Solutions,IT64AITM32552963920417,ORDER OF  INV100000000008283,364028.54,EUR,20121007
[210],Red Maple Ventures,US77ISES92996107819674,payment 2201659891 ,62539.65,USD,20161006
[211],Park & Lee Solutions,IT69XBSD04498910535216,ORDER OF 6991407636 INV1000000000102759,138124.34,EUR,20161001
[212],Ramirez & Hijos Servicios,EC70IUTA50525270767302,receipt number 5333071554  tl1xrw,62769.99,USD,20060925
[213],Bertolini & Figli S.p.A.,JP04BQPW06234142267270,RECEIPT 808418502 ,17930440.28,JPY,20031002
[214],TerraNova Energy Co.,KR17XYXA58116372865191,PAY  287804151,125013712.24,KRW,20081009
[215],Zhao & Sons Ltd.,EU21QINT89660374269417,payment 4365360308 INV100000000025500 REFERENCE akzjhedz1vqk,13983.51,EUR,20050926
[216],Zhao & Sons Ltd.,EU21QINT89660374269417,payment 463536030  REFERENCE e1go4s,105160.91,EUR,20051015
[217],Eagle Financial Group,US42DMOC19326985519090,79196741708 ,9883.36,USD,20081017
[218],Eagle Financial Group,US42DMOC19326985519090,791971708 ,13886.989999999998,USD,20080926
[219],IET SOLUTIONS,ES20WSWB76296960053374,PAY INV100000000007651 1652112501,124620.02,EUR,20001026
[220],IET SOLUTIONS,ES20WSWB76296960053374,PAY  1652112501,136127.33999999997,EUR,20000928
[221],ZC_Ltd_11212,US49NYRG26232164607062,receipt number INV100000000005090 ,251662.67,USD,20141013
[222],P&C Enterprises,ZW71WJDX88155642569867,RECEIPT 7679020497 1976  NUM 7xuvqaz,121748.34,USD,20181001
[223],P&C Enterprises,ZW71WJDX88155642569867,RECEIPT  10000000009161 INV100000000014990 NUM 3tl7sr4,78101.59,USD,20181022
[224],GXS TECH,JP55URXX19922438559959,payment INV100000000004885  cqqzpzbv2,4298107.22,JPY,20010923
[225],F&F Ventures,SV33QXSG98847568135628,ORDER OF 8788265662 ,60171.57,USD,20051011
